// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

//----------------------------------------------------------------------------------------------------------------------
//	Invasion Manager
//----------------------------------------------------------------------------------------------------------------------
// InvasionId   FilePath                    Tipo da Invasão
//	[Index]	    [Name]				        [0/1]
//----------------------------------------------------------------------------------------------------------------------
	0	       "WhiteWizard.dat"		     0
	1	       "GoldenInvasion.dat"	         1
	2	       "RedDragon.dat"			     1
	3	       "SkeletonKing.dat"		     1

	7	       "Medusa.dat"			         0

	12	       "IceKing.dat"			     0
	13	       "LordSilvester.dat"		     0
	14	       "MoonRabbit.dat"		         0
end
