0
//==============================================================================||
//			      [ Item Bag Modules ]				||
//	-------------------------------------------------------------------	||
//										||
// [0] 		: Nome da Event Bag						||
// [1]		: Ativa / Desativa o Drop de Zen				||
// [2]		: Quantidade de Zen que Dropará					||
// [3]		: Rate de Drop Zen 				[ 0 ~ 10000 ]	||
// [4]		: Rate de Drop o Item Excellent			[ 0 ~ 10000 ]	||
// [5]		: Rate de Drop o Item Ancient			[ 0 ~ 10000 ]	||
// [6]		: Quantidade de drop						||
// [7]		: Libera Fireworks ao Dropar					||
//										||
//======================================================================================================||
//	[0]			[1]	[2]		[3]	[4]	[5]	[6]	[7]		||
//======================================================================================================||
	"Box of Kundun +1"	0	0		0	10000	0	1	0
end


//==============================================================================||
//			      [ Item Bag Drop Data ]				||
//	-------------------------------------------------------------------	||
//										||
// [0] 		: Item Type 					[ 0 ~ 15 ]	||
// [1]		: Item Index 					[ 0 ~ 512 ]	||
// [2]		: Level minimo do Item 				[ 0 ~ 15 ]	||
// [3]		: Level maximo do Item 				[ 0 ~ 15 ]	||
// [4]		: Rate de sucesso para o item obter skill 	[ 0 ~ 100 ]	||
// [5]		: Rate de sucesso para o item obter luck 	[ 0 ~ 100 ] 	||
// [6]		: Rate de sucesso para o item obter (JOL) 	[ 0 ~ 100 ]	||
// [7]		: Numero maximo de opçõs Add Life (JOL)		[ 0 ~ 7 ]	||
// [8]		: Numero maximo de opções Excellent		[ 0 ~ 6 ]	||
// [9]		: Dropa o Item Ancient				[ 0 ~ 1 ]	||
// 										||
//==============================================================================||

1
10000	// -- Rate Drop [0~10000]
//======================================================================================||
//	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	||
//======================================================================================||
	7	2	0	0	50	50	50	2	2	0
	7	5	0	0	50	50	50	2	2	0
	7	0	0	0	50	50	50	2	2	0
	7	10	0	0	50	50	50	2	2	0
	8	2	0	0	50	50	50	2	2	0
	8	5	0	0	50	50	50	2	2	0
	8	0	0	0	50	50	50	2	2	0
	8	10	0	0	50	50	50	2	2	0
	9	2	0	0	50	50	50	2	2	0
	9	5	0	0	50	50	50	2	2	0
	9	0	0	0	50	50	50	2	2	0
	9	10	0	0	50	50	50	2	2	0
	10	2	0	0	50	50	50	2	2	0
	10	5	0	0	50	50	50	2	2	0
	10	0	0	0	50	50	50	2	2	0
	10	10	0	0	50	50	50	2	2	0
	11	2	0	0	50	50	50	2	2	0
	11	5	0	0	50	50	50	2	2	0
	11	0	0	0	50	50	50	2	2	0
	11	10	0	0	50	50	50	2	2	0
	0	0	0	0	50	50	50	2	2	0
	0	2	0	0	50	50	50	2	2	0
	0	4	0	0	50	50	50	2	2	0
	0	3	0	0	50	50	50	2	2	0
	1	2	0	0	50	50	50	2	2	0
	1	3	0	0	50	50	50	2	2	0
	2	0	0	0	50	50	50	2	2	0
	2	8	0	0	50	50	50	2	2	0
	4	9	0	0	50	50	50	2	2	0
	2	2	0	0	50	50	50	2	2	0
	4	10	0	0	50	50	50	2	2	0
	4	3	0	0	50	50	50	2	2	0
	5	0	0	0	50	50	50	2	2	0
	5	1	0	0	50	50	50	2	2	0
	6	4	0	0	50	50	50	2	2	0
	6	1	0	0	50	50	50	2	2	0
end
