0
//==============================================================================||
//			      [ Item Bag Modules ]				||
//	-------------------------------------------------------------------	||
//										||
// [0] 		: Nome da Event Bag						||
// [1]		: Ativa / Desativa o Drop de Zen				||
// [2]		: Quantidade de Zen que Dropará					||
// [3]		: Rate de Drop Zen 				[ 0 ~ 10000 ]	||
// [4]		: Rate de Drop o Item Excellent			[ 0 ~ 10000 ]	||
// [5]		: Rate de Drop o Item Ancient			[ 0 ~ 10000 ]	||
// [6]		: Quantidade de drop						||
// [7]		: Libera Fireworks ao Dropar					||
//										||
//======================================================================================================||
//	[0]			[1]	[2]		[3]	[4]	[5]	[6]	[7]		||
//======================================================================================================||
	"Box Of Kundun +4"	0	0		0	10000	0	1	0
end


//==============================================================================||
//			      [ Item Bag Drop Data ]				||
//	-------------------------------------------------------------------	||
//										||
// [0] 		: Item Type 					[ 0 ~ 15 ]	||
// [1]		: Item Index 					[ 0 ~ 512 ]	||
// [2]		: Level minimo do Item 				[ 0 ~ 15 ]	||
// [3]		: Level maximo do Item 				[ 0 ~ 15 ]	||
// [4]		: Rate de sucesso para o item obter skill 	[ 0 ~ 100 ]	||
// [5]		: Rate de sucesso para o item obter luck 	[ 0 ~ 100 ] 	||
// [6]		: Rate de sucesso para o item obter (JOL) 	[ 0 ~ 100 ]	||
// [7]		: Numero maximo de opçõs Add Life (JOL)		[ 0 ~ 7 ]	||
// [8]		: Numero maximo de opções Excellent		[ 0 ~ 6 ]	||
// [9]		: Dropa o Item Ancient				[ 0 ~ 1 ]	||
// 										||
//==============================================================================||

1
10000	// -- Rate Drop [0~10000]
//======================================================================================||
//	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	||
//======================================================================================||
	0	14	0	0	50	50	50	2	2	0
	0	16	0	0	50	50	50	2	2	0
	0	31	0	0	50	50	50	2	2	0
	0	18	0	0	50	50	50	2	2	0
	1	8	0	0	50	50	50	2	2	0
	2	5	0	0	50	50	50	2	2	0
	2	3	0	0	50	50	50	2	2	0
	2	11	0	0	50	50	50	2	2	0
	3	8	0	0	50	50	50	2	2	0
	3	4	0	0	50	50	50	2	2	0
	4	16	0	0	50	50	50	2	2	0
	4	17	0	0	50	50	50	2	2	0
	5	8	0	0	50	50	50	2	2	0
	5	9	0	0	50	50	50	2	2	0
	2	6	0	0	50	50	50	2	2	0
	4	6	0	0	50	50	50	2	2	0
	5	7	0	0	50	50	50	2	2	0
	7	16	0	0	50	50	50	2	2	0
	7	18	0	0	50	50	50	2	2	0
	7	19	0	0	50	50	50	2	2	0
	7	27	0	0	50	50	50	2	2	0
	7	34	0	0	50	50	50	2	2	0
	7	35	0	0	50	50	50	2	2	0
	7	36	0	0	50	50	50	2	2	0
	7	38	0	0	50	50	50	2	2	0
	8	16	0	0	50	50	50	2	2	0
	8	18	0	0	50	50	50	2	2	0
	8	19	0	0	50	50	50	2	2	0
	8	20	0	0	50	50	50	2	2	0
	8	27	0	0	50	50	50	2	2	0
	8	34	0	0	50	50	50	2	2	0
	8	35	0	0	50	50	50	2	2	0
	8	36	0	0	50	50	50	2	2	0
	8	37	0	0	50	50	50	2	2	0
	8	38	0	0	50	50	50	2	2	0
	9	16	0	0	50	50	50	2	2	0
	9	18	0	0	50	50	50	2	2	0
	9	19	0	0	50	50	50	2	2	0
	9	20	0	0	50	50	50	2	2	0
	9	27	0	0	50	50	50	2	2	0
	9	34	0	0	50	50	50	2	2	0
	9	35	0	0	50	50	50	2	2	0
	9	36	0	0	50	50	50	2	2	0
	9	37	0	0	50	50	50	2	2	0
	9	38	0	0	50	50	50	2	2	0
	10	16	0	0	50	50	50	2	2	0
	10	18	0	0	50	50	50	2	2	0
	10	19	0	0	50	50	50	2	2	0
	10	20	0	0	50	50	50	2	2	0
	10	27	0	0	50	50	50	2	2	0
	10	34	0	0	50	50	50	2	2	0
	10	35	0	0	50	50	50	2	2	0
	10	36	0	0	50	50	50	2	2	0
	10	37	0	0	50	50	50	2	2	0
	10	38	0	0	50	50	50	2	2	0
	11	16	0	0	50	50	50	2	2	0
	11	18	0	0	50	50	50	2	2	0
	11	19	0	0	50	50	50	2	2	0
	11	20	0	0	50	50	50	2	2	0
	11	27	0	0	50	50	50	2	2	0
	11	34	0	0	50	50	50	2	2	0
	11	35	0	0	50	50	50	2	2	0
	11	36	0	0	50	50	50	2	2	0
	11	37	0	0	50	50	50	2	2	0
	11	38	0	0	50	50	50	2	2	0
	6	3	0	0	50	50	50	2	2	0
	6	8	0	0	50	50	50	2	2	0
	6	11	0	0	50	50	50	2	2	0
	6	14	0	0	50	50	50	2	2	0
end
