// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   07    000      9           100            0             1            1           0           0           //
   07    001      9           100            0             1            1           0           0           //
   07    005      9           100            0             1            1           0           0           //
   07    009      9           100            0             1            1           0           0           //
   08    000      9           100            0             1            1           0           0           //
   08    001      9           100            0             1            1           0           0           //
   08    005      9           100            0             1            1           0           0           //
   08    009      9           100            0             1            1           0           0           //
   09    000      9           100            0             1            1           0           0           //
   09    009      9           100            0             1            1           0           0           //
   09    001      9           100            0             1            1           0           0           //
   09    005      9           100            0             1            1           0           0           //
   10    000      9           100            0             1            1           0           0           //
   10    009      9           100            0             1            1           0           0           //
   10    001      9           100            0             1            1           0           0           //
   10    005      9           100            0             1            1           0           0           //
   11    000      9           100            0             1            1           0           0           //
   11    009      9           100            0             1            1           0           0           //
   11    001      9           100            0             1            1           0           0           //
   11    005      9           100            0             1            1           0           0           //
   06    009      9           100            1             1            1           0           0           //
   06    011      9           100            1             1            1           0           0           //
   06    012      9           100            1             1            1           0           0           //
   06    013      9           100            1             1            1           0           0           //
   00    001      9           100            1             1            1           0           0           //
   00    003      9           100            1             1            1           0           0           //
   00    005      9           100            1             1            1           0           0           //
   00    002      9           100            1             1            1           0           0           //
   12    014      0           0              0             0            0           0           0           //
   12    012      0           0              0             0            0           0           0           //
   12    019      0           0              0             0            0           0           0           //
   12    016      0           0              0             0            0           0           0           //
   12    013      0           0              0             0            0           0           0           //
   12    007      0           0              0             0            0           0           0           //
end
