// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
	13	   8	    0	       255	        0	           1	        1	        0	        0	      // Ring of Ice
	13	   9	    0	       255	        0	           1	        1	        0	        0	      // Ring of Poison
	13	   21	    0	       255	        0	           1	        1	        0	        0	      // Ring of Fire
	13	   22	    0	       255	        0	           1	        1	        0	        0	      // Ring of Earth
	13	   23	    0	       255	        0	           1	        1	        0	        0	      // Ring of Wind
	13	   24	    0	       255	        0	           1	        1	        0	        0	      // Ring of Magic
	13	   12	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Lightning
	13	   13	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Fire
	13	   25	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Ice
	13	   26	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Wind
	13	   27	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Water
	13	   28	    0	       255	        0	           1	        1	        0	        0	      // Pendant of Ability

	13	   	8	    1	       255	        0	           1	        1	        0	        0	      // Ring of Ice
	13	   	9	    1	       255	        0	           1	        1	        0	        0	      // Ring of Poison
	13	   	21	    1	       255	        0	           1	        1	        0	        0	      // Ring of Fire
	13	   	22	    1	       255	        0	           1	        1	        0	        0	      // Ring of Earth
	13	   	23	    1	       255	        0	           1	        1	        0	        0	      // Ring of Wind
	13	   	24	    1	       255	        0	           1	        1	        0	        0	      // Ring of Magic
	13	   	12	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Lightning
	13	   	13	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Fire
	13	   	25	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Ice
	13	   	26	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Wind
	13	   	27	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Water
	13	   	28	    1	       255	        0	           1	        1	        0	        0	      // Pendant of Ability

	13	   	8	    2	       255	        0	           1	        1	        0	        0	      // Ring of Ice
	13	   	9	    2	       255	        0	           1	        1	        0	        0	      // Ring of Poison
	13	   	21	    2	       255	        0	           1	        1	        0	        0	      // Ring of Fire
	13	   	22	    2	       255	        0	           1	        1	        0	        0	      // Ring of Earth
	13	   	23	    2	       255	        0	           1	        1	        0	        0	      // Ring of Wind
	13	   	24	    2	       255	        0	           1	        1	        0	        0	      // Ring of Magic
	13	   	12	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Lightning
	13	   	13	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Fire
	13	   	25	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Ice
	13	   	26	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Wind
	13	   	27	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Water
	13	   	28	    2	       255	        0	           1	        1	        0	        0	      // Pendant of Ability

	13	   	8	    3	       255	        0	           1	        1	        0	        0	      // Ring of Ice
	13	   	9	    3	       255	        0	           1	        1	        0	        0	      // Ring of Poison
	13	   	21	    3	       255	        0	           1	        1	        0	        0	      // Ring of Fire
	13	   	22	    3	       255	        0	           1	        1	        0	        0	      // Ring of Earth
	13	   	23	    3	       255	        0	           1	        1	        0	        0	      // Ring of Wind
	13	   	24	    3	       255	        0	           1	        1	        0	        0	      // Ring of Magic
	13	   	12	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Lightning
	13	   	13	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Fire
	13	   	25	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Ice
	13	   	26	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Wind
	13	   	27	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Water
	13	   	28	    3	       255	        0	           1	        1	        0	        0	      // Pendant of Ability
end
