// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   06    00      7           0            0             1            1           0           0           //
   06    01      7           0            0             1            1           0           0           //
   06    02      7           0            0             1            1           0           0           //
   06    03      7           0            0             1            1           0           0           //
   06    04      7           0            0             1            1           0           0           //
   06    05      7           0            0             1            1           0           0           //
   06    06      7           0            0             1            1           0           0           //
   06    07      7           0            0             1            1           0           0           //
   06    08      7           0            0             1            1           0           0           //
   06    09      7           0            0             1            1           0           0           //
   06    010     7           0            0             1            1           0           0           //
   06    011     7           0            0             1            1           0           0           //
   06    012     7           0            0             1            1           0           0           //
   06    013     7           0            0             1            1           0           0           //
   06    014     7           0            0             1            1           0           0           //
   06    015     7           0            0             1            1           0           0           //
   06    016     7           0            0             1            1           0           0           //
end
