// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   07    013      9           0            0             1            1           0           0           //
   07    014      9           0            0             1            1           0           0           //
   07    019      9           0            0             1            1           0           0           //
   07    024      9           0            0             1            1           0           0           //
   08    013      9           0            0             1            1           0           0           //
   08    014      9           0            0             1            1           0           0           //
   08    019      9           0            0             1            1           0           0           //
   08    024      9           0            0             1            1           0           0           //
   09    013      9           0            0             1            1           0           0           //
   09    014      9           0            0             1            1           0           0           //
   09    019      9           0            0             1            1           0           0           //
   09    024      9           0            0             1            1           0           0           //
   10    013      9           0            0             1            1           0           0           //
   10    014      9           0            0             1            1           0           0           //
   10    019      9           0            0             1            1           0           0           //
   10    024      9           0            0             1            1           0           0           //
   11    013      9           0            0             1            1           0           0           //
   11    014      9           0            0             1            1           0           0           //
   11    019      9           0            0             1            1           0           0           //
   11    024      9           0            0             1            1           0           0           //
   12    008      0           0            0             0            0           0           0           //
   12    009      0           0            0             0            0           0           0           //
   12    010      0           0            0             0            0           0           0           //
   12    011      0           0            0             0            0           0           0           //
   12    011      2           0            0             0            0           0           0           //
   12    011      5           0            0             0            0           0           0           //
   12    017      0           0            0             0            0           0           0           //
   12    018      0           0            0             0            0           0           0           //
   04    007      7           0            0             0            0           0           0           //
   04    015      7           0            0             0            0           0           0           //
   14    019      1           0            0             0            0           0           0           //
   14    019      2           0            0             0            0           0           0           //
   14    019      3           0            0             0            0           0           0           //
   14    019      4           0            0             0            0           0           0           //
   14    019      5           0            0             0            0           0           0           //
   14    019      6           0            0             0            0           0           0           //
end
