// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   07    025      9           0            1             1            1           0           0           //
   07    026      9           0            1             1            1           0           0           //
   07    027      9           0            1             1            1           0           0           //
   02    008      9           0            1             1            1           0           0           //
   02    009      9           0            1             1            1           0           0           //
   08    025      9           0            1             1            1           0           0           //
   08    026      9           0            1             1            1           0           0           //
   08    027      9           0            1             1            1           0           0           //
   02    010      9           0            1             1            1           0           0           //
   02    011      9           0            1             1            1           0           0           //
   09    025      9           0            1             1            1           0           0           //
   09    026      9           0            1             1            1           0           0           //
   09    027      9           0            1             1            1           0           0           //
   10    025      9           0            1             1            1           0           0           //
   10    026      9           0            1             1            1           0           0           //
   10    027      9           0            1             1            1           0           0           //
   12    021      0           0            1             1            1           0           0           //
   12    023      0           0            1             1            1           0           0           //
   11    025      9           0            1             1            1           0           0           //
   11    026      9           0            1             1            1           0           0           //
   11    027      9           0            1             1            1           0           0           //
   12    024      0           0            1             1            1           0           0           //
   12    022      0           0            1             1            1           0           0           //
   12    035      0           0            1             1            1           0           0           //
end
