// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------------------------------
// [00]  [000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// Type  Index   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   14    028      1            1             0              0            0           0           0           //Lost Map +1
   14    028      2            1             0              0            0           0           0           //Lost Map +2
   14    028      3            1             0              0            0           0           0           //Lost Map +3
   14    028      4            1             0              0            0           0           0           //Lost Map +4
   14    028      5            1             0              0            0           0           0           //Lost Map +5
   14    028      6            1             0              0            0           0           0           //Lost Map +6
   14    028      7            1             0              0            0           0           0           //Lost Map +7
   14    010      0            1              0             0            0           0           0           //Town Portal Scroll
   14    003      7            255            0             0            0           0           0           //Large Healing Potion
   14    006      7            255            0             0            0           0           0           //Large Mana Potion
   14    008      7            255            0             0            0           0           0           //Antidote
   13    046      0            10             0             0            0           0           0           //Devil Square Ticket   
   13    047      0            10             0             0            0           0           0           //Blood Castle Ticket  
   13    048      0            10             0             0            0           0           0           //Kalima Ticket  
   13    061      0            10             0             0            0           0           0           //Illusion Temple Ticket
end
