//Type	Index	Level	Dur	Skill	Luck	Option	Exc	Anc	||
//==============================================================================================================================||									
//convites BC									
13	18	1	0	0	0	0	0	0	//bc
13	18	2	0	0	0	0	0	0	//bc
13	18	3	0	0	0	0	0	0	//bc
13	18	4	0	0	0	0	0	0	//bc
13	18	5	0	0	0	0	0	0	//bc
13	18	6	0	0	0	0	0	0	//bc
13	18	7	0	0	0	0	0	0	//bc
13	18	8	0	0	0	0	0	0	//bc
									
//munição flaxas									
4	15	7	150	0	0	0	0	0	//Bolts
4	7	7	150	0	0	0	0	0	//Arrows
4	15	7	250	0	0	0	0	0	//Bolts
4	7	7	250	0	0	0	0	0	//Arrows
end
