//Type	Index	Level	Dur	Skill	Luck	Option	Exc	Anc	||
//==============================================================================================================================||									
//bronze" = 0	Pad" = 2	Wind = 12	Leather" = 5						
7	0	7	0	1	1	0	0	0	//
7	2	7	0	1	1	0	0	0	//
7	4	7	0	1	1	0	0	0	//
7	5	7	0	1	1	0	0	0	//
									
8	0	7	0	1	1	0	0	0	//
8	2	7	0	1	1	0	0	0	//
8	4	7	0	1	1	0	0	0	//
8	5	7	0	1	1	0	0	0	//
									
9	0	7	0	1	1	0	0	0	//
9	2	7	0	1	1	0	0	0	//
9	4	7	0	1	1	0	0	0	//
9	5	7	0	1	1	0	0	0	//
									
10	0	7	0	1	1	0	0	0	//
10	2	7	0	1	1	0	0	0	//
10	4	7	0	1	1	0	0	0	//
10	5	7	0	1	1	0	0	0	//
									
11	0	7	0	1	1	0	0	0	//
11	2	7	0	1	1	0	0	0	//
11	4	7	0	1	1	0	0	0	//
11	5	7	0	1	1	0	0	0	//
									
14	0	0	8	0	0	0	0	0	//"maça Potion"
end
