//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Enc	Info
/////////////////////////////////////////////////////////////////////////////									
//									
7	10	0	0	0	0	0	0	0	//Vine Helm
7	11	0	0	0	0	0	0	0	//Silk Helm
4	0	0	0	0	0	0	0	0	//Short Bow
4	1	0	0	0	0	0	0	0	//Bow
8	10	0	0	0	0	0	0	0	//Vine Armor
8	11	0	0	0	0	0	0	0	//Silk Armor
6	0	0	0	0	0	0	0	0	//Small Shield
6	1	0	0	0	0	0	0	0	//Horn Shield
9	10	0	0	0	0	0	0	0	//Vine Pants
9	11	0	0	0	0	0	0	0	//Silk Pants
4	8	0	0	0	0	0	0	0	//Crossbow
4	7	0	60	0	0	0	0	0	//Bolt
4	7	0	100	0	0	0	0	0	//Bolt
10	10	0	0	0	0	0	0	0	//Vine Gloves
10	11	0	0	0	0	0	0	0	//Silk Gloves
4	15	0	60	0	0	0	0	0	//Arrow
4	15	0	100	0	0	0	0	0	//Arrow
14	0	0	0	0	0	0	0	0	//Apple
14	1	0	30	0	0	0	0	0	//Small Healing Potion
14	2	0	30	0	0	0	0	0	//Healing Potion
14	3	0	30	0	0	0	0	0	//Large Healing Potion
11	10	0	0	0	0	0	0	0	//Vine Boots
11	11	0	0	0	0	0	0	0	//Silk Boots
14	0	0	0	0	0	0	0	0	//Apple
14	1	0	30	0	0	0	0	0	//Small Healing Potion
14	2	0	30	0	0	0	0	0	//Healing Potion
14	3	0	30	0	0	0	0	0	//Large Healing Potion
14	4	0	1	0	0	0	0	0	//Small Mana Potion
14	4	0	30	0	0	0	0	0	//Small Mana Potion
14	5	0	30	0	0	0	0	0	//Mana Potion
14	6	0	30	0	0	0	0	0	//Large Mana Potion
14	19	1	0	0	0	0	0	0	//Devil's Invitation 1
14	19	2	0	0	0	0	0	0	//Devil's Invitation 2
14	19	3	0	0	0	0	0	0	//Devil's Invitation 3
14	19	4	0	0	0	0	0	0	//Devil's Invitation 4
14	19	5	0	0	0	0	0	0	//Devil's Invitation 5
14	19	6	0	0	0	0	0	0	//Devil's Invitation 6
end									
