//Type	Index	Level	Dur	Skill	Luck	Option	Exc	Anc	||
//==============================================================================================================================||									
14	0	0	1	0	0	0	0	0	//"maça Potion"
14	1	0	30	0	0	0	0	0	//"Potion"
14	2	0	30	0	0	0	0	0	//"Potion"
14	3	0	30	0	0	0	0	0	//"Potion"
14	4	0	30	0	0	0	0	0	//"Potion"
14	5	0	30	0	0	0	0	0	//"Potion"
14	6	0	30	0	0	0	0	0	//"Potion"
14	8	0	10	0	0	0	0	0	//"Large Healing Potion"
									
//14 	35	0	30	0	0	0	0	0	//SD
//14 	38	0	30	0	0	0	0	0	//ROXO
									
14	9	0	0	0	0	0	0	0	//Ale
14	10	0	0	0	0	0	0	0	//Town Teleport
end
