// -----------------------------------------------------------------------------
// |#| TEAM: GxGaming | Meliodas - Supremo                 
// |#| Email:contato@gxgaming.com.br                  
// |#| https://gxgaming.com.br/              
// |#| https://discord.com/invite/53v77eZ8YD 
// |#| https://www.youtube.com/@gxgaming-d3q        
// -----------------------------------------------------------------------------
// # © 2010 - 2026 GxGaming Development
// # This file is part of the GxGaming MuOnline Server files.
// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------------
// [N]     [Max 32 Char]      [Max 32 Char]      [0~2000000000]  [-1/N]     
// Index   MoveName(server)   MoveName(client)   RequireMoney    MinLevel   GateNumber
// -----------------------------------------------------------------------------------
    1      "Arena"             "Arena"             2000             50        50
    2      "Lorencia"          "Lorencia"          2000             10        17
    3      "Noria"             "Noria"             2000             10        27
    4      "Devias"            "Devias"            2000             20        22
    5      "Devias2"           "Devias2"           2500             20        72
    6      "Devias3"           "Devias3"           3000             20        73
    7      "Devias4"           "Devias4"           3500             20        74
    8      "Dungeon"           "Dungeon"           3000             30        2
    9      "Dungeon2"          "Dungeon2"          3500             40        6
    10     "Dungeon3"          "Dungeon3"          4000             50        10
    11     "Atlans"            "Atlans"            4000             70        49
    12     "Atlans2"           "Atlans2"           4500             80        75
    13     "Atlans3"           "Atlans3"           5000             90        76
    14     "LostTower"         "LostTower"         5000             50        42
    15     "LostTower2"        "LostTower2"        5500             50        31
    16     "LostTower3"        "LostTower3"        6000             50        33
    17     "LostTower4"        "LostTower4"        6500             60        35
    18     "LostTower5"        "LostTower5"        7000             60        37
    19     "LostTower6"        "LostTower6"        7500             70        39
    20     "LostTower7"        "LostTower7"        8000             70        41
    23     "Aida"              "Aida"              8500             150       119
    24     "Aida2"             "Aida2"             8500             150       140	
    21     "Tarkan"            "Tarkan"            8000             140       57
    22     "Tarkan2"           "Tarkan2"           8500             140       77
    25     "Icarus"            "Icarus"            10000            170       63
    26     "Kanturu1"          "Kanturu1"          9000             160       138
    27     "Kanturu2"          "Kanturu2"          9000             160       141
    28     "Kanturu3"          "Kanturu3"          12000            230       139
    29     "Loren"             "Loren"             30000            350       340
    29     "Crywolf"           "Crywolf"           35000            380       118
